"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-02","0.00","71","45"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-03","0.09","63","56"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-04","0.14","77","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-05","0.00","50","36"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-06","0.00","50","31"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-07","0.00","50","30"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-08","0.00","60","27"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-09","0.17","65","40"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-10","0.00","51","31"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-11","0.01","66","30"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-12","0.00","54","31"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-13","0.24","65","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-14","0.96","69","47"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-15","0.00","60","39"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-16","0.00","69","38"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-17","0.83","67","52"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-18","0.09","52","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-19","0.14","50","40"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-20","0.00","58","34"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-21","0.00","68","33"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-22","0.40","64","49"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-23","0.13","69","58"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-24","0.00","78","59"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-25","0.18","74","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-26","0.00","50","33"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-27","0.00","47","28"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-28","0.00","50","32"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-29","0.00","53","33"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-30","0.00","47","37"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-31","0.00","49","32"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-11-01","0.00","52","32"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-11-02","0.00","48","28"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-11-03","0.00","46","28"
